state,sample,Ri_ohm,Ro_ohm,Au_dB,DC_Ui_V,DC_Us_V,DC_U0_V,DC_Uinf_V,DC_Au_out_V,DC_Au_in_V
normal,1,2765.859,-0.078,41.428,2.093,1.333,2.762,2.758,2.757,1.680
normal,2,2726.214,1913.368,41.439,1.671,1.582,1.423,2.758,2.757,1.679
normal,3,2727.442,1908.022,41.425,1.669,1.585,1.424,2.757,2.757,1.675
normal,4,2731.644,1910.096,41.436,1.666,1.587,1.423,2.757,2.757,1.674
normal,5,2727.317,1908.504,41.430,1.665,1.590,1.423,2.757,2.756,1.672
normal,6,2732.955,1909.163,41.436,1.662,1.592,1.423,2.757,2.756,1.670
normal,7,2730.700,1911.535,41.437,1.661,1.594,1.423,2.757,2.756,1.668
normal,8,2731.435,1914.381,41.429,1.659,1.595,1.422,2.757,2.756,1.666
normal,9,2729.180,1909.880,41.439,1.658,1.597,1.423,2.757,2.756,1.665
normal,10,2731.959,1913.401,41.435,1.655,1.599,1.423,2.756,2.756,1.663
fault_open_R1,11,2729.059,-2000.000,-0.000,1.655,1.600,1.422,3.300,3.300,1.449
fault_open_R1,12,14434.776,-2000.000,-0.000,1.459,1.759,2.359,3.300,3.300,1.462
fault_open_R1,13,14405.713,-2000.000,-0.000,1.471,1.756,2.358,3.300,3.300,1.474
fault_open_R1,14,14425.729,-2000.000,-0.000,1.483,1.753,2.358,3.300,3.300,1.486
fault_open_R1,15,14447.237,-2000.000,-0.000,1.494,1.750,2.358,3.300,3.300,1.496
fault_open_R1,16,14415.300,-2000.000,-0.000,1.504,1.747,2.357,3.300,3.300,1.506
fault_open_R1,17,14424.734,-2000.000,-0.000,1.513,1.743,2.357,3.300,3.300,1.515
fault_open_R1,18,14414.824,-2000.000,-0.000,1.521,1.739,2.358,3.300,3.300,1.524
fault_open_R1,19,14412.675,-2000.000,-0.000,1.529,1.736,2.358,3.300,3.300,1.530
fault_open_R1,20,14407.830,-2000.000,-0.000,1.536,1.732,2.358,3.300,3.300,1.539
fault_open_R3,21,1120.634,892.089,3.061,1.306,1.308,0.054,0.071,0.071,1.859
fault_open_R3,22,1128.620,796.288,3.353,1.316,1.321,0.054,0.071,0.071,1.867
fault_open_R3,23,1114.317,1209.547,3.379,1.324,1.331,0.054,0.071,0.072,1.877
fault_open_R3,24,1117.280,929.154,3.222,1.331,1.340,0.054,0.071,0.071,1.882
fault_open_R3,25,1122.329,1010.303,3.247,1.337,1.347,0.054,0.071,0.072,1.889
fault_open_R3,26,1111.285,1013.511,3.387,1.341,1.354,0.054,0.071,0.072,1.894
fault_open_R3,27,1114.679,899.768,3.321,1.345,1.360,0.054,0.071,0.071,1.896
fault_open_R3,28,1118.673,868.758,3.334,1.349,1.364,0.054,0.071,0.071,1.899
fault_open_R3,29,1108.534,729.942,3.108,1.352,1.369,0.054,0.071,0.071,1.902
fault_open_R3,30,1115.723,880.101,3.357,1.354,1.372,0.054,0.071,0.071,1.904
fault_open_R3,31,1115.225,711.565,3.182,1.356,1.375,0.054,0.071,0.071,1.906
fault_open_R3,32,1106.777,1003.842,3.001,1.357,1.377,0.054,0.071,0.072,1.909
fault_short_R2,33,109.777,-2000.000,-0.000,1.563,1.640,2.294,3.300,3.300,1.564
fault_short_R2,34,110.075,-2000.000,-0.000,1.565,1.638,2.294,3.300,3.300,1.565
fault_short_R2,35,105.333,-2000.000,-0.000,1.566,1.635,2.294,3.300,3.300,1.566
fault_short_R2,36,88.674,-2000.000,-0.000,1.568,1.633,2.294,3.300,3.300,1.568
fault_short_R2,37,79.844,-2000.000,-0.000,1.569,1.631,2.294,3.300,3.300,1.569
fault_short_R2,38,75.378,-2000.000,-0.000,1.570,1.629,2.294,3.300,3.300,1.570
fault_short_R2,39,74.156,-2000.000,-0.000,1.571,1.628,2.294,3.300,3.300,1.571
fault_short_R2,40,72.463,-2000.000,-0.000,1.573,1.626,2.294,3.300,3.300,1.573
fault_short_R2,41,72.058,-2000.000,-0.000,1.574,1.625,2.294,3.300,3.300,1.574
fault_short_R2,42,73.189,-2000.000,-0.000,1.574,1.624,2.294,3.300,3.300,1.575
fault_short_R2,43,73.611,-2000.000,-0.000,1.576,1.623,2.294,3.300,3.300,1.576
fault_short_R2,44,72.349,-2000.000,-0.000,1.577,1.622,2.294,3.300,3.300,1.577
fault_short_R2,45,72.626,-2000.000,-0.000,1.578,1.622,2.294,3.300,3.300,1.578
fault_short_R2,46,73.238,-2000.000,-0.000,1.579,1.621,2.294,3.300,3.300,1.579
fault_short_R2,47,74.015,-2000.000,-0.000,1.580,1.620,2.294,3.300,3.300,1.580
fault_short_R4,48,99.864,1055.770,6.900,1.299,1.239,0.018,0.018,0.018,1.328
fault_short_R4,49,99.943,710.451,9.976,1.344,1.295,0.018,0.018,0.018,1.373
fault_short_R4,50,100.323,-209.520,11.976,1.385,1.342,0.018,0.018,0.018,1.409
fault_short_R4,51,100.391,-203.649,11.320,1.421,1.382,0.018,0.018,0.018,1.443
fault_short_R4,52,95.785,3283.709,7.894,1.450,1.418,0.017,0.018,0.018,1.471
fault_short_R4,53,99.752,2794.097,8.018,1.477,1.448,0.018,0.018,0.018,1.491
fault_short_R4,54,99.427,2027.051,7.044,1.494,1.471,0.017,0.018,0.017,1.508
fault_short_R4,55,99.798,2441.212,8.437,1.515,1.493,0.017,0.017,0.017,1.526
fault_short_R4,56,99.411,-63.001,11.030,1.530,1.510,0.018,0.018,0.018,1.539
fault_short_R4,57,99.199,-349.012,10.363,1.542,1.525,0.017,0.018,0.018,1.551
fault_short_R4,58,98.825,73.574,7.457,1.554,1.538,0.017,0.018,0.017,1.562
fault_short_R4,59,100.135,1851.635,7.770,1.564,1.549,0.017,0.018,0.017,1.570
fault_short_R4,60,98.002,2202.923,8.405,1.572,1.558,0.017,0.017,0.017,1.578
fault_short_R4,61,99.036,136.603,6.242,1.579,1.566,0.017,0.017,0.017,1.584
fault_short_R4,62,99.367,1817.044,7.925,1.585,1.573,0.017,0.017,0.017,1.589
fault_short_R4,63,99.650,-387.014,8.976,1.590,1.578,0.017,0.017,0.017,1.592
fault_open_C1,64,393979.000,2175.661,-14.313,1.622,1.620,1.411,2.736,2.736,1.616
fault_open_C1,65,391211.063,1722.870,-14.349,1.622,1.621,1.411,2.736,2.736,1.617
fault_open_C1,66,392662.188,1646.518,-14.589,1.622,1.621,1.411,2.736,2.735,1.617
fault_open_C1,67,393597.875,1589.887,-14.153,1.622,1.621,1.411,2.735,2.735,1.617
fault_open_C1,68,392279.188,1951.896,-14.307,1.623,1.622,1.411,2.735,2.735,1.619
fault_open_C1,69,392551.875,1959.938,-14.370,1.624,1.622,1.411,2.736,2.735,1.619
fault_open_C1,70,393427.125,1791.091,-14.072,1.623,1.622,1.411,2.735,2.735,1.619
fault_open_C1,71,386688.656,1800.649,-14.404,1.623,1.622,1.411,2.735,2.735,1.620
fault_open_C1,72,393681.094,2029.178,-14.032,1.624,1.622,1.410,2.735,2.735,1.620
fault_open_C1,73,394602.781,1959.424,-14.026,1.623,1.622,1.411,2.735,2.735,1.621
fault_open_C2,74,10328.757,1853.249,4.809,1.614,1.609,1.410,2.735,2.735,1.624
fault_open_C2,75,10326.787,1703.640,4.834,1.613,1.608,1.411,2.735,2.735,1.624
fault_open_C2,76,10321.966,1956.968,4.901,1.613,1.608,1.410,2.736,2.735,1.623
fault_open_C2,77,10323.714,1695.826,4.855,1.612,1.607,1.411,2.735,2.735,1.623
fault_open_C2,78,10327.220,1933.243,4.835,1.613,1.608,1.410,2.735,2.735,1.623
fault_open_C2,79,10328.147,1929.213,4.899,1.613,1.608,1.410,2.735,2.735,1.622
fault_open_C2,80,10321.107,1976.405,4.902,1.612,1.608,1.410,2.735,2.735,1.622
fault_open_C2,81,10315.027,1802.988,4.889,1.612,1.608,1.410,2.735,2.734,1.622
fault_open_C2,82,10328.628,1950.590,4.886,1.613,1.608,1.410,2.735,2.734,1.622
fault_open_C2,83,10319.781,1936.445,4.875,1.612,1.608,1.410,2.735,2.734,1.621
fault_open_C2,84,10316.396,1840.771,4.873,1.612,1.609,1.410,2.734,2.734,1.621
fault_open_C2,85,10323.222,1730.793,4.844,1.613,1.608,1.410,2.734,2.734,1.621
fault_open_C2,86,10315.794,1742.968,4.849,1.613,1.609,1.410,2.734,2.734,1.621
fault_double_C2,87,2449.233,1925.088,42.633,1.614,1.612,1.411,2.736,2.736,1.626
fault_double_C2,88,2450.792,1925.152,42.640,1.614,1.612,1.411,2.736,2.736,1.626
fault_double_C2,89,2449.986,1918.136,42.637,1.613,1.610,1.412,2.736,2.735,1.625
fault_double_C2,90,2450.662,1923.487,42.640,1.613,1.610,1.411,2.736,2.735,1.626
fault_double_C2,91,2451.728,1916.295,42.648,1.613,1.610,1.412,2.735,2.735,1.625
fault_double_C2,92,2449.079,1915.083,42.641,1.612,1.609,1.412,2.735,2.735,1.625
fault_double_C2,93,2449.849,1916.632,42.645,1.612,1.609,1.412,2.735,2.735,1.625
fault_double_C2,94,2451.389,1923.499,42.644,1.613,1.609,1.411,2.735,2.735,1.625
fault_double_C2,95,2450.686,1919.846,42.642,1.612,1.608,1.412,2.736,2.735,1.625
fault_double_C2,96,2451.054,1926.457,42.643,1.612,1.608,1.411,2.736,2.736,1.624
fault_double_C2,97,2450.566,1919.634,42.651,1.612,1.607,1.412,2.736,2.736,1.624
fault_double_C2,98,2451.675,1915.923,42.647,1.612,1.607,1.412,2.736,2.736,1.625
fault_double_C2,99,2452.323,1919.706,42.646,1.612,1.607,1.412,2.736,2.736,1.624
fault_double_C2,100,2451.351,1916.031,42.643,1.612,1.607,1.412,2.736,2.736,1.624
fault_double_C2,101,2451.917,1923.520,42.649,1.613,1.607,1.411,2.736,2.736,1.624
fault_double_C2,102,2452.225,1920.945,42.648,1.612,1.607,1.412,2.736,2.736,1.624
fault_double_C2,103,2453.682,1918.706,42.650,1.611,1.607,1.412,2.736,2.736,1.624
