freq_Hz,mode,k,target_fs_Hz,Au_x57_dB,Au_x49_dB
1000,NORMAL,,,42.74,41.43
2000,NORMAL,,,43.12,41.80
3000,NORMAL,,,43.20,41.88
4000,NORMAL,,,43.27,41.95
5000,NORMAL,,,43.26,41.94
6000,NORMAL,,,43.27,41.96
7000,NORMAL,,,43.28,41.97
8000,NORMAL,,,43.30,41.99
9000,EQUIV,1,8000.0,43.30,41.99
10000,EQUIV,1,9000.0,43.30,41.99
11000,EQUIV,1,10000.0,43.31,41.99
12000,EQUIV,1,11000.0,43.31,42.00
13000,EQUIV,1,12000.0,43.31,42.00
14000,EQUIV,1,13000.0,43.32,42.01
15000,EQUIV,1,14000.0,43.32,42.01
16000,EQUIV,1,15000.0,43.32,42.00
17000,EQUIV,1,16000.0,43.31,42.00
18000,EQUIV,1,17000.0,43.31,42.00
19000,EQUIV,1,18000.0,43.32,42.00
20000,EQUIV,1,19000.0,43.32,42.00
21000,EQUIV,1,20000.0,43.32,42.01
22000,EQUIV,1,21000.0,43.31,41.99
23000,EQUIV,1,22000.0,43.31,42.00
24000,EQUIV,1,23000.0,43.30,41.99
25000,EQUIV,1,24000.0,43.30,41.98
26000,EQUIV,1,25000.0,43.29,41.97
27000,EQUIV,1,26000.0,43.30,41.98
28000,EQUIV,1,27000.0,43.28,41.97
29000,EQUIV,1,28000.0,43.29,41.97
30000,EQUIV,2,14500.0,43.29,41.97
31000,EQUIV,2,15000.0,43.28,41.97
32000,EQUIV,2,15500.0,43.27,41.96
33000,EQUIV,2,16000.0,43.26,41.95
34000,EQUIV,2,16500.0,43.27,41.95
35000,EQUIV,2,17000.0,43.26,41.94
36000,EQUIV,2,17500.0,43.25,41.94
37000,EQUIV,2,18000.0,43.24,41.93
38000,EQUIV,2,18500.0,43.24,41.92
39000,EQUIV,2,19000.0,43.22,41.91
40000,EQUIV,2,19500.0,43.21,41.90
41000,EQUIV,2,20000.0,43.20,41.89
42000,EQUIV,2,20500.0,43.20,41.89
43000,EQUIV,2,21000.0,43.19,41.88
44000,EQUIV,2,21500.0,43.18,41.87
45000,EQUIV,2,22000.0,43.16,41.85
46000,EQUIV,2,22500.0,43.17,41.86
47000,EQUIV,2,23000.0,43.15,41.84
48000,EQUIV,2,23500.0,43.14,41.83
49000,EQUIV,2,24000.0,43.13,41.82
50000,EQUIV,3,16333.3,43.13,41.81
51000,EQUIV,3,16666.7,43.12,41.81
52000,EQUIV,3,17000.0,43.10,41.79
53000,EQUIV,3,17333.3,43.09,41.78
54000,EQUIV,3,17666.7,43.09,41.77
55000,EQUIV,3,18000.0,43.07,41.76
56000,EQUIV,3,18333.3,43.07,41.75
57000,EQUIV,3,18666.7,43.06,41.75
58000,EQUIV,3,19000.0,43.04,41.73
59000,EQUIV,3,19333.3,43.03,41.71
60000,EQUIV,3,19666.7,43.03,41.72
61000,EQUIV,3,20000.0,43.01,41.69
62000,EQUIV,3,20333.3,43.00,41.68
63000,EQUIV,3,20666.7,42.97,41.66
64000,EQUIV,3,21000.0,42.97,41.66
65000,EQUIV,3,21333.3,42.95,41.64
66000,EQUIV,3,21666.7,42.95,41.63
67000,EQUIV,3,22000.0,42.93,41.62
68000,EQUIV,3,22333.3,42.92,41.61
69000,EQUIV,3,22666.7,42.91,41.59
70000,EQUIV,4,17250.0,42.89,41.58
71000,EQUIV,4,17500.0,42.88,41.56
72000,EQUIV,4,17750.0,42.86,41.55
73000,EQUIV,4,18000.0,42.85,41.53
74000,EQUIV,4,18250.0,42.84,41.52
75000,EQUIV,4,18500.0,42.82,41.50
76000,EQUIV,4,18750.0,42.81,41.50
77000,EQUIV,4,19000.0,42.78,41.47
78000,EQUIV,4,19250.0,42.78,41.47
79000,EQUIV,4,19500.0,42.76,41.45
80000,EQUIV,4,19750.0,42.74,41.43
81000,EQUIV,4,20000.0,42.74,41.43
82000,EQUIV,4,20250.0,42.72,41.41
83000,EQUIV,4,20500.0,42.71,41.39
84000,EQUIV,4,20750.0,42.69,41.38
85000,EQUIV,4,21000.0,42.68,41.36
86000,EQUIV,4,21250.0,42.67,41.35
87000,EQUIV,4,21500.0,42.66,41.34
88000,EQUIV,4,21750.0,42.65,41.34
89000,EQUIV,4,22000.0,42.62,41.30
90000,EQUIV,5,17800.0,42.60,41.29
91000,EQUIV,5,18000.0,42.59,41.28
92000,EQUIV,5,18200.0,42.58,41.26
93000,EQUIV,5,18400.0,42.56,41.25
94000,EQUIV,5,18600.0,42.54,41.23
95000,EQUIV,5,18800.0,42.54,41.23
96000,EQUIV,5,19000.0,42.52,41.21
97000,EQUIV,5,19200.0,42.50,41.19
98000,EQUIV,5,19400.0,42.49,41.18
99000,EQUIV,5,19600.0,42.46,41.15
100000,EQUIV,5,19800.0,42.45,41.13
101000,EQUIV,5,20000.0,42.44,41.12
102000,EQUIV,5,20200.0,42.42,41.11
103000,EQUIV,5,20400.0,42.40,41.09
104000,EQUIV,5,20600.0,42.39,41.08
105000,EQUIV,5,20800.0,42.36,41.04
106000,EQUIV,5,21000.0,42.35,41.04
107000,EQUIV,5,21200.0,42.35,41.04
108000,EQUIV,5,21400.0,42.33,41.02
109000,EQUIV,5,21600.0,42.33,41.01
110000,EQUIV,6,18166.7,42.30,40.99
111000,EQUIV,6,18333.3,42.29,40.97
112000,EQUIV,6,18500.0,42.27,40.96
113000,EQUIV,6,18666.7,42.25,40.93
114000,EQUIV,6,18833.3,42.23,40.92
115000,EQUIV,6,19000.0,42.21,40.90
116000,EQUIV,6,19166.7,42.20,40.88
117000,EQUIV,6,19333.3,42.19,40.88
118000,EQUIV,6,19500.0,42.18,40.86
119000,EQUIV,6,19666.7,42.15,40.84
120000,EQUIV,6,19833.3,42.13,40.82
121000,EQUIV,6,20000.0,42.12,40.81
122000,EQUIV,6,20166.7,42.11,40.79
123000,EQUIV,6,20333.3,42.08,40.77
124000,EQUIV,6,20500.0,42.07,40.76
125000,EQUIV,6,20666.7,42.04,40.73
126000,EQUIV,6,20833.3,42.05,40.73
127000,EQUIV,6,21000.0,42.01,40.69
128000,EQUIV,6,21166.7,42.01,40.70
129000,EQUIV,6,21333.3,41.98,40.67
130000,EQUIV,7,18428.6,41.97,40.66
131000,EQUIV,7,18571.4,41.94,40.63
132000,EQUIV,7,18714.3,41.94,40.63
133000,EQUIV,7,18857.1,41.93,40.62
134000,EQUIV,7,19000.0,41.91,40.59
135000,EQUIV,7,19142.9,41.89,40.58
136000,EQUIV,7,19285.7,41.88,40.56
137000,EQUIV,7,19428.6,41.86,40.55
138000,EQUIV,7,19571.4,41.85,40.53
139000,EQUIV,7,19714.3,41.82,40.51
140000,EQUIV,7,19857.1,41.80,40.49
141000,EQUIV,7,20000.0,41.78,40.47
142000,EQUIV,7,20142.9,41.78,40.46
143000,EQUIV,7,20285.7,41.75,40.44
144000,EQUIV,7,20428.6,41.74,40.42
145000,EQUIV,7,20571.4,41.71,40.39
146000,EQUIV,7,20714.3,41.70,40.38
147000,EQUIV,7,20857.1,41.69,40.37
148000,EQUIV,7,21000.0,41.68,40.37
149000,EQUIV,7,21142.9,41.66,40.35
150000,EQUIV,8,18625.0,41.64,40.33
151000,EQUIV,8,18750.0,41.63,40.31
152000,EQUIV,8,18875.0,41.61,40.30
153000,EQUIV,8,19000.0,41.59,40.28
154000,EQUIV,8,19125.0,41.58,40.27
155000,EQUIV,8,19250.0,41.56,40.25
156000,EQUIV,8,19375.0,41.55,40.23
157000,EQUIV,8,19500.0,41.52,40.20
158000,EQUIV,8,19625.0,41.51,40.20
159000,EQUIV,8,19750.0,41.49,40.18
160000,EQUIV,8,19875.0,41.46,40.15
161000,EQUIV,8,20000.0,41.46,40.14
162000,EQUIV,8,20125.0,41.45,40.14
163000,EQUIV,8,20250.0,41.42,40.11
164000,EQUIV,8,20375.0,41.41,40.10
165000,EQUIV,8,20500.0,41.41,40.10
166000,EQUIV,8,20625.0,41.39,40.08
167000,EQUIV,8,20750.0,41.36,40.05
168000,EQUIV,8,20875.0,41.33,40.02
169000,EQUIV,8,21000.0,41.32,40.01
170000,EQUIV,9,18777.8,41.30,39.98
171000,EQUIV,9,18888.9,41.30,39.99
172000,EQUIV,9,19000.0,41.30,39.98
173000,EQUIV,9,19111.1,41.26,39.95
174000,EQUIV,9,19222.2,41.27,39.95
175000,EQUIV,9,19333.3,41.24,39.93
176000,EQUIV,9,19444.4,41.23,39.91
177000,EQUIV,9,19555.6,41.21,39.90
178000,EQUIV,9,19666.7,41.18,39.87
179000,EQUIV,9,19777.8,41.17,39.86
180000,EQUIV,9,19888.9,41.16,39.85
181000,EQUIV,9,20000.0,41.14,39.83
182000,EQUIV,9,20111.1,41.12,39.80
183000,EQUIV,9,20222.2,41.10,39.79
184000,EQUIV,9,20333.3,41.08,39.77
185000,EQUIV,9,20444.4,41.08,39.77
186000,EQUIV,9,20555.6,41.04,39.73
187000,EQUIV,9,20666.7,41.02,39.71
188000,EQUIV,9,20777.8,41.04,39.73
189000,EQUIV,9,20888.9,41.02,39.70
190000,EQUIV,10,18900.0,40.99,39.68
191000,EQUIV,10,19000.0,41.00,39.69
192000,EQUIV,10,19100.0,40.99,39.68
193000,EQUIV,10,19200.0,40.98,39.67
194000,EQUIV,10,19300.0,40.91,39.59
195000,EQUIV,10,19400.0,40.93,39.61
196000,EQUIV,10,19500.0,40.91,39.60
197000,EQUIV,10,19600.0,40.90,39.58
198000,EQUIV,10,19700.0,40.89,39.58
199000,EQUIV,10,19800.0,40.86,39.54
200000,EQUIV,10,19900.0,40.85,39.54
